2022-09-20 10:06:54;31.1;38.4;32.27;106.33;34.99;281.21
2022-09-20 10:06:56;31.1;38.4;32.33;104.93;35.01;281.73
2022-09-20 10:06:57;30.9;39.4;32.31;105.41;34.99;282.17
2022-09-20 10:06:58;30.9;39.4;32.31;105.83;35.01;283.53
2022-09-20 10:06:59;30.9;39.4;32.33;105.59;35.09;283.53
2022-09-20 10:07:00;30.9;39.4;32.33;104.93;35.09;283.65
2022-09-20 10:07:02;30.9;39.4;32.39;103.37;35.19;282.31
2022-09-20 10:07:03;30.9;39.4;32.43;102.87;35.17;282.81
2022-09-20 10:07:04;30.9;39.2;32.41;103.33;35.19;282.51
2022-09-20 10:07:05;30.9;39.2;32.41;103.77;35.21;282.33
2022-09-20 10:07:07;31.0;39.2;32.45;105.09;35.21;282.95
2022-09-20 10:07:08;31.0;39.2;32.45;106.19;35.27;282.19
2022-09-20 10:09:33;31.4;38.4;32.67;104.81;35.45;277.11
2022-09-20 10:09:35;31.4;38.4;32.71;104.19;35.49;276.65
2022-09-20 10:09:36;31.4;38.3;32.71;103.63;1037.55;277.55
2022-09-20 10:09:37;31.4;38.3;32.75;102.59;35.53;277.81
2022-09-20 10:09:38;31.4;38.3;32.77;95.33;37.17;277.81
2022-09-20 10:09:39;31.4;38.3;32.83;60.03;35.63;277.45
2022-09-20 10:09:41;31.4;38.6;32.85;94.71;35.67;277.77
2022-09-20 10:09:42;31.4;38.6;32.83;105.35;35.71;278.31
2022-09-20 10:09:43;31.5;38.7;32.85;105.41;35.71;278.01
2022-09-20 10:09:44;31.5;38.7;32.85;106.91;35.71;279.01
2022-09-20 10:09:46;31.5;38.7;32.87;106.89;35.67;279.65
2022-09-20 10:09:47;31.5;38.7;32.91;106.63;35.67;279.93
2022-09-20 10:09:48;31.5;38.7;32.91;106.31;35.67;281.43
2022-09-20 10:09:49;31.5;38.7;32.95;106.01;35.67;281.37
2022-09-20 10:09:51;31.5;38.7;32.99;104.99;35.75;281.51
2022-09-20 10:09:52;31.5;38.7;32.99;105.35;35.75;281.91
2022-09-20 10:09:53;31.5;38.7;33.05;105.33;35.79;282.01
2022-09-20 10:09:54;31.5;38.7;33.09;104.63;35.79;282.23
2022-09-20 10:09:56;31.5;38.7;33.07;103.97;35.81;282.23
2022-09-20 10:09:57;31.5;38.7;33.11;102.99;35.83;282.03
2022-09-20 10:09:58;31.5;38.7;33.15;102.29;35.81;281.83
2022-09-20 10:09:59;31.5;38.7;33.15;103.79;35.77;281.89
2022-09-20 10:10:01;31.5;38.6;33.19;105.59;35.77;282.63
2022-09-20 10:10:02;31.5;38.6;33.17;106.99;35.81;282.33
2022-09-20 10:10:03;31.5;38.6;33.19;107.81;35.79;281.79
2022-09-20 10:10:04;31.5;38.6;33.25;108.11;35.75;281.87
2022-09-20 10:10:06;31.5;38.6;33.29;107.43;35.79;281.55
2022-09-20 10:10:07;31.5;38.6;33.29;106.83;35.77;281.93
2022-09-20 10:10:08;31.5;38.6;33.31;106.17;35.81;281.91
2022-09-20 10:10:09;31.5;38.6;33.29;106.15;35.83;281.75
2022-09-20 10:10:10;31.5;38.6;33.33;105.45;35.81;282.23
2022-09-20 10:10:12;31.5;38.6;33.29;104.75;35.79;281.81
2022-09-20 10:10:13;31.5;38.6;33.33;104.81;35.83;282.59
2022-09-20 10:10:14;31.5;38.6;33.35;104.41;35.83;282.57
2022-09-20 10:10:15;31.6;38.6;33.39;103.77;35.81;281.77
2022-09-20 10:10:16;31.6;38.6;33.39;103.81;35.85;282.47
2022-09-20 10:10:18;31.6;38.6;33.37;102.61;35.79;282.39
2022-09-20 10:10:19;31.6;38.6;33.41;102.37;35.79;282.31
2022-09-20 10:10:20;31.6;38.6;33.47;102.25;35.77;282.51
2022-09-20 10:10:21;31.6;38.6;33.45;101.89;35.73;282.05
2022-09-20 10:10:23;31.6;38.4;33.47;101.51;35.71;282.43
2022-09-20 10:10:24;31.6;38.4;33.49;101.91;35.65;282.55
2022-09-20 10:10:25;31.6;38.3;33.49;103.21;36.79;283.37
2022-09-20 10:10:26;31.6;38.3;33.47;104.21;35.67;282.77
2022-09-20 10:10:28;31.6;38.3;33.47;106.15;35.67;282.73
2022-09-20 10:10:29;31.6;38.3;33.47;106.59;35.67;282.49
2022-09-20 10:10:30;31.6;38.2;33.49;106.37;35.77;282.07
2022-09-20 10:10:31;31.6;38.2;33.51;106.57;35.75;281.53
2022-09-20 10:10:33;31.6;38.2;33.49;105.45;35.77;281.47
2022-09-20 10:10:34;31.6;38.2;33.51;105.57;35.73;281.71
2022-09-20 10:10:35;31.6;38.2;33.51;104.63;35.67;281.61
2022-09-20 10:10:36;31.6;38.2;33.53;104.75;35.65;281.31
2022-09-20 10:10:38;31.6;38.2;33.55;103.89;35.61;282.15
2022-09-20 10:10:39;31.6;38.2;33.57;104.07;35.59;282.11
2022-09-20 10:10:40;31.7;38.1;33.59;103.09;35.59;281.81
2022-09-20 10:10:41;31.7;38.1;33.57;103.47;35.53;281.77
2022-09-20 10:10:43;31.7;38.1;33.57;102.99;35.59;281.35
2022-09-20 10:10:44;31.7;38.1;33.61;102.79;35.57;282.33
2022-09-20 10:10:45;31.7;38.1;33.63;102.31;35.55;281.93
2022-09-20 10:10:46;31.7;38.1;33.63;101.77;35.55;282.27
2022-09-20 10:10:48;31.7;38.1;33.69;101.57;35.53;282.41
2022-09-20 10:10:49;31.7;38.1;33.63;101.13;35.53;283.31
2022-09-20 10:10:50;31.7;38.1;33.73;102.13;35.57;282.31
2022-09-20 10:10:51;31.7;38.1;33.69;103.51;35.53;282.35
